Code	Code2	Name	Symbol	Yalniz Baskiyla Ilgili	Explanation	
0	sus	Rest (-)		FALSE	Rest Symbol. Pay (numerator), Payda (denumerator) and LNS=100 is used	
1	kcn	Little Note		FALSE	Generally used to show embellishments which are not originally on the piece but added in the performance. They are typically played softer than the other notes.	
2		Rest on the first occurence (-)		FALSE	Acts as a normal note, however a rest with the same duration is given in the first occurence of this note. 	
3		Rest on the second occurence (-)		FALSE	Acts as a normal note, however a rest with the same duration is given in the second occurence of this note. 	
4	gls	Glissando		FALSE	Slides from this note and the next note.	
5		Attenuating Tremolo (-)	163	FALSE	Note is performed as an tremolo getting softer by time.	
6		Amplifying Tremolo (-)		FALSE	Note is performed as an tremolo getting louder by time.	
7	trm	Tremolo		FALSE	Note is not performed as a single onset but rather many onset. The total duration of all the onset would be equal to the duration of the note. In pieces where the tempo is less than 4th note = 90 bpm, a tremolo typically corresponds to eight 32nd notes. For faster pieces it corresponds to four 16th notes.	
8	crp	Gracenote	227	FALSE	A short and soft note which takes a its duration from the next note. For pieces slower than 4th note = 90bpm, it is a 64th note. For faster pieces it is a 32nd note. This duration is subtracted from the duration of the next note.	
9	nta	Note/Rest		FALSE	"Normal note or rest if silence.
Repeat signs:
If there is ""+"" and ""X"" in the Söz-2 (Second lyrics column) field:
   If LNS is 1, Dal Segno (D.S.), 
   If LNS is 4, to the [Start] (to below),
   If LNS is 5, to the (Start) (above the portrait); 
If there is ""]"" or ""}"" in the Söz-2 field: 
   LNS = 0 ise [SON], 
   LNS = 1 ise [KA"	
10	acn	Note Followed by a Gracenote		FALSE	Normal note. Gives some of its duration to the following grace note.	
11	ssc	Silent Gracenote	218	FALSE	Normal note. Gives some of its duration to the following grace note with a pitch one degree sharper. This grace note is not shown and performed very softly.	
12	trl	Trill	164	FALSE	The note is divided into four and played like silent gracenotes. If multiple trills are desired, it should be written to the Pay and Payda values. For example a 4th note is generally divided into four 16th notes; however if the Pay and Payda are 8 and 3, respectively XX	Missing the ending
13		Natural Trill (-)		FALSE	If the note with the higher pitch in the scale has a flat or sharp, they are played as a natural.	
14	obk	Öbekleme, Usul/Tempo Değişimi		FALSE	Bu kodu taşıyan kaydın Söz-1 ve/veya Söz-2 alanlarında yazılı sayılar, baskı esnasında notaların öbeklenme biçimini belirler. Söz-1/Söz-2 alanları boşsa, usulün normal bölünme şekli esas alınır. Örneğin 4/4`lük Sofyan usulündeki bir eserde Söz-1/Söz-2 ala	
15		Artan - Sönen Tremolo (-)		FALSE	Tek bir nota için, hafiften başlayıp değerinin yarısına kadar gürleşerek, sonraki yarısında ise sönerek yapılan tremolodur.	
16		Sönen - Artan Tremolo (-)		FALSE	Tek bir nota için, gürden başlayıp değerinin yarısına kadar hafifleyerek, sonraki yarısında ise tekrar gürleşerek yapılan tremolodur.	
